projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test03;49, 50;49, 50
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test04;56, 57, 58;56, 57, 58
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test05;64, 65, 66;64, 65, 66
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test06;72, 73, 75;72, 73, 75
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test07;80, 81, 83, 84, 85;80, 81, 83, 84, 85
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test08;90, 91;90, 91
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test09;97, 98;97, 98
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test10;104, 105, 106, 108;104, 105, 106, 108
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test11;113, 114, 115;113, 114, 115
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test12;120, 121, 122, 124, 125;120, 121, 122, 124, 125
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test13;131, 132, 133, 134, 135, 136, 138;131, 132, 133, 134, 135, 136, 138
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test14;143, 144, 145, 147, 148;143, 144, 145, 147, 148
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test15;153, 154, 155, 156, 157;153, 154, 155, 156, 157
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test16;163, 164, 165;163, 164, 165
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test17;171, 172;171, 172
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test18;178, 179;178, 179
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test22;207, 208, 209;207, 208, 209
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test23;214, 215, 216, 217, 219;214, 215, 216, 217, 219
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test24;224, 225, 226;224, 225, 226
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Eager Test;test25;231, 232, 233, 235;231, 232, 233, 235
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test00;26-26;26-26
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test01;34-34;34-34
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test01;35-35;35-35
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test01;36-36;36-36
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test02;43-43;43-43
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test02;44-44;44-44
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test03;51-51;51-51
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test04;58-58;58-58
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test04;59-59;59-59
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test05;67-67;67-67
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test06;74-74;74-74
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test06;75-75;75-75
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test07;81-81;81-81
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test07;85-85;85-85
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test08;92-92;92-92
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test09;99-99;99-99
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test10;106-106;106-106
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test10;107-107;107-107
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test10;108-108;108-108
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test12;122-122;122-122
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test12;126-126;126-126
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test13;135-135;135-135
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test13;136-136;136-136
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test13;137-137;137-137
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test13;138-138;138-138
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test14;146-146;146-146
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test14;147-147;147-147
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test14;148-148;148-148
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test15;156-156;156-156
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test15;157-157;157-157
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test15;158-158;158-158
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test16;166-166;166-166
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test17;173-173;173-173
aux2;DirEntryTest;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry_ESTest.java;C:\Users\maxim\.jnose_projects\aux2\arquivos\G01\101_netweaver\evosuite-tests\com\sap\managementconsole\soap\axis\sapcontrol\DirEntry.java;JUnit4;237;26;Assertion Roulette;test18;180-180;180-180
